,filter,time,field,noise
423,z,56534.2265625,173.0,0.0018000000000000002
0,g,56538.36328125,173.0,0.0023
135,r,56538.3671875,173.0,0.0021000000000000003
278,i,56538.36957289,173.0,0.0022
424,z,56538.37229197,173.0,0.0018000000000000002
425,z,56538.375,173.0,0.0018000000000000002
1,g,56543.30859375,173.0,0.0023
136,r,56543.312265,173.0,0.0021000000000000003
279,i,56543.31432044,173.0,0.0022
426,z,56543.31640625,173.0,0.0018000000000000002
427,z,56543.3203125,173.0,0.0018000000000000002
2,g,56547.26765106,173.0,0.0023
137,r,56547.2700096,173.0,0.0021000000000000003
280,i,56547.2721053,173.0,0.0022
428,z,56547.27473746,173.0,0.0018000000000000002
429,z,56547.27734375,173.0,0.0018000000000000002
431,z,56551.25203476,173.0,0.0018000000000000002
430,z,56551.25467653,173.0,0.0018000000000000002
3,g,56552.26953125,173.0,0.0023
138,r,56552.2734375,173.0,0.0021000000000000003
281,i,56552.27564044,173.0,0.0022
432,z,56552.27830102,173.0,0.0018000000000000002
433,z,56552.28125,173.0,0.0018000000000000002
4,g,56559.19049088,173.0,0.0023
139,r,56559.19286457,173.0,0.0021000000000000003
282,i,56559.1953125,173.0,0.0022
434,z,56559.19758997,173.0,0.0018000000000000002
435,z,56559.20024766,173.0,0.0018000000000000002
5,g,56563.19921875,173.0,0.0023
140,r,56563.20254059,173.0,0.0021000000000000003
283,i,56563.2046114,173.0,0.0022
436,z,56563.20703125,173.0,0.0018000000000000002
437,z,56563.2109375,173.0,0.0018000000000000002
6,g,56567.21875,173.0,0.0023
141,r,56567.2215084,173.0,0.0021000000000000003
284,i,56567.22358823,173.0,0.0022
438,z,56567.2265625,173.0,0.0018000000000000002
439,z,56567.23046875,173.0,0.0018000000000000002
7,g,56575.19140625,173.0,0.0023
142,r,56575.1937485,173.0,0.0021000000000000003
285,i,56575.19582406,173.0,0.0022
440,z,56575.19850479,173.0,0.0018000000000000002
441,z,56575.20115786,173.0,0.0018000000000000002
8,g,56579.1796875,173.0,0.0023
143,r,56579.18319394,173.0,0.0021000000000000003
286,i,56579.18527735,173.0,0.0022
442,z,56579.1875,173.0,0.0018000000000000002
443,z,56579.19140625,173.0,0.0018000000000000002
9,g,56590.33984375,173.0,0.0023
144,r,56590.34330834,173.0,0.0021000000000000003
287,i,56590.3453991,173.0,0.0022
444,z,56590.3515625,173.0,0.0018000000000000002
10,g,56594.1328125,173.0,0.0023
145,r,56594.13490888,173.0,0.0021000000000000003
288,i,56594.13698431,173.0,0.0022
446,z,56594.13963008,173.0,0.0018000000000000002
445,z,56594.14228554,173.0,0.0018000000000000002
11,g,56602.1171875,173.0,0.0023
146,r,56602.12090182,173.0,0.0021000000000000003
289,i,56602.12299932,173.0,0.0022
447,z,56602.125,173.0,0.0018000000000000002
448,z,56602.12890625,173.0,0.0018000000000000002
12,g,56607.0546875,173.0,0.0023
147,r,56607.05784487,173.0,0.0021000000000000003
290,i,56607.059925,173.0,0.0022
449,z,56607.0625,173.0,0.0018000000000000002
450,z,56607.06640625,173.0,0.0018000000000000002
13,g,56614.07312372,173.0,0.0023
148,r,56614.07547546,173.0,0.0021000000000000003
291,i,56614.078125,173.0,0.0022
452,z,56614.08020107,173.0,0.0018000000000000002
451,z,56614.08285571,173.0,0.0018000000000000002
14,g,56615.09609035,173.0,0.0023
149,r,56615.09846663,173.0,0.0021000000000000003
292,i,56615.1015625,173.0,0.0022
453,z,56615.10546875,173.0,0.0018000000000000002
15,g,56625.18253352,173.0,0.0023
150,r,56625.18488646,173.0,0.0021000000000000003
293,i,56625.1875,173.0,0.0022
454,z,56625.18963309,173.0,0.0018000000000000002
455,z,56625.19229823,173.0,0.0018000000000000002
16,g,56628.07421875,173.0,0.0023
151,r,56628.078125,173.0,0.0021000000000000003
294,i,56628.08032678,173.0,0.0022
456,z,56628.08300811,173.0,0.0018000000000000002
457,z,56628.0859375,173.0,0.0018000000000000002
17,g,56635.12748407,173.0,0.0023
152,r,56635.1298442,173.0,0.0021000000000000003
295,i,56635.13190835,173.0,0.0022
458,z,56635.13456351,173.0,0.0018000000000000002
459,z,56635.13671875,173.0,0.0018000000000000002
18,g,56645.07660965,173.0,0.0023
153,r,56645.08004464,173.0,0.0021000000000000003
296,i,56645.08203125,173.0,0.0022
461,z,56645.08477897,173.0,0.0018000000000000002
460,z,56645.08741992,173.0,0.0018000000000000002
19,g,56649.1640625,173.0,0.0023
154,r,56649.16796875,173.0,0.0021000000000000003
297,i,56649.17002509,173.0,0.0022
462,z,56649.1727058,173.0,0.0018000000000000002
463,z,56649.17578125,173.0,0.0018000000000000002
20,g,56653.0859375,173.0,0.0023
155,r,56653.08814947,173.0,0.0021000000000000003
298,i,56653.09022481,173.0,0.0022
464,z,56653.09288804,173.0,0.0018000000000000002
465,z,56653.09552375,173.0,0.0018000000000000002
21,g,56660.08864801,173.0,0.0023
156,r,56660.09100244,173.0,0.0021000000000000003
299,i,56660.09306407,173.0,0.0022
466,z,56660.09570217,173.0,0.0018000000000000002
467,z,56660.09765625,173.0,0.0018000000000000002
22,g,56667.11602829,173.0,0.0023
157,r,56667.11839324,173.0,0.0021000000000000003
300,i,56667.12109375,173.0,0.0022
469,z,56667.12311242,173.0,0.0018000000000000002
468,z,56667.12575493,173.0,0.0018000000000000002
23,g,56675.09977377,173.0,0.0023
158,r,56675.1021204,173.0,0.0021000000000000003
301,i,56675.10420704,173.0,0.0022
470,z,56675.10687816,173.0,0.0018000000000000002
471,z,56675.109375,173.0,0.0018000000000000002
24,g,56682.08042766,173.0,0.0023
159,r,56682.08375046,173.0,0.0021000000000000003
302,i,56682.0859375,173.0,0.0022
473,z,56682.08846285,173.0,0.0018000000000000002
472,z,56682.09111447,173.0,0.0018000000000000002
25,g,56686.11953552,173.0,0.0023
160,r,56686.12304446,173.0,0.0021000000000000003
303,i,56686.125,173.0,0.0022
474,z,56686.12776059,173.0,0.0018000000000000002
475,z,56686.13040431,173.0,0.0018000000000000002
26,g,56693.03433688,173.0,0.0023
161,r,56693.03669553,173.0,0.0021000000000000003
304,i,56693.0390625,173.0,0.0022
476,z,56693.04143112,173.0,0.0018000000000000002
477,z,56693.04406888,173.0,0.0018000000000000002
27,g,56887.38894855,173.0,0.0023
162,r,56887.39254001,173.0,0.0021000000000000003
305,i,56887.39453125,173.0,0.0022
478,z,56887.39725799,173.0,0.0018000000000000002
479,z,56887.39988845,173.0,0.0018000000000000002
28,g,56891.390625,173.0,0.0023
163,r,56891.39439152,173.0,0.0021000000000000003
306,i,56891.39647504,173.0,0.0022
480,z,56891.3984375,173.0,0.0018000000000000002
481,z,56891.40234375,173.0,0.0018000000000000002
29,g,56904.29548327,173.0,0.0023
164,r,56904.29784908,173.0,0.0021000000000000003
307,i,56904.29990723,173.0,0.0022
482,z,56904.30254318,173.0,0.0018000000000000002
483,z,56904.3046875,173.0,0.0018000000000000002
30,g,56912.34375,173.0,0.0023
165,r,56912.34597464,173.0,0.0021000000000000003
308,i,56912.34804767,173.0,0.0022
485,z,56912.35068576,173.0,0.0018000000000000002
484,z,56912.35332735,173.0,0.0018000000000000002
31,g,56920.3046875,173.0,0.0023
166,r,56920.30714691,173.0,0.0021000000000000003
309,i,56920.30920331,173.0,0.0022
486,z,56920.3125,173.0,0.0018000000000000002
487,z,56920.31640625,173.0,0.0018000000000000002
32,g,56927.234375,173.0,0.0023
167,r,56927.23733856,173.0,0.0021000000000000003
310,i,56927.23941032,173.0,0.0022
488,z,56927.2421875,173.0,0.0018000000000000002
489,z,56927.24609375,173.0,0.0018000000000000002
33,g,56943.22858153,173.0,0.0023
168,r,56943.23215048,173.0,0.0021000000000000003
311,i,56943.234375,173.0,0.0022
490,z,56943.23684736,173.0,0.0018000000000000002
491,z,56943.23948906,173.0,0.0018000000000000002
34,g,56949.32326633,173.0,0.0023
169,r,56949.32561251,173.0,0.0021000000000000003
312,i,56949.328125,173.0,0.0022
492,z,56949.33029304,173.0,0.0018000000000000002
493,z,56949.33292826,173.0,0.0018000000000000002
35,g,56956.3359375,173.0,0.0023
170,r,56956.33984375,173.0,0.0021000000000000003
313,i,56956.34222427,173.0,0.0022
494,z,56956.34487736,173.0,0.0018000000000000002
495,z,56956.34765625,173.0,0.0018000000000000002
36,g,56960.26953125,173.0,0.0023
171,r,56960.2734375,173.0,0.0021000000000000003
314,i,56960.27552797,173.0,0.0022
