,filter,time,field,noise,flux
81,z,56543.3203125,274.0,0.0018000000000000002,0.5054100751876831
50,i,56547.2734375,274.0,0.0022,0.2921772301197052
82,z,56547.27734375,274.0,0.0018000000000000002,0.4961888790130615
5,r,56563.203125,274.0,0.0021000000000000003,0.21618643403053284
6,r,56567.22265625,274.0,0.0021000000000000003,0.165257528424263
7,r,56575.1953125,274.0,0.0021000000000000003,0.24200791120529175
8,r,56602.12090182,274.0,0.0021000000000000003,0.14222612977027893
51,i,56602.12299932,274.0,0.0022,0.34884193539619446
9,r,56625.18359375,274.0,0.0021000000000000003,0.21035276353359222
52,i,56625.1875,274.0,0.0022,0.31959834694862366
10,r,56628.078125,274.0,0.0021000000000000003,0.18439702689647675
53,i,56628.08203125,274.0,0.0022,0.29582375288009644
11,r,56635.12890625,274.0,0.0021000000000000003,0.29524075984954834
54,i,56653.08984375,274.0,0.0022,0.0
12,r,56660.08984375,274.0,0.0021000000000000003,0.23437829315662384
55,i,56660.09375,274.0,0.0022,0.2720279395580292
83,z,56667.125,274.0,0.0018000000000000002,0.7754371762275696
56,i,56675.10546875,274.0,0.0022,0.44909125566482544
13,r,56682.08203125,274.0,0.0021000000000000003,0.21685755252838135
84,z,56682.08984375,274.0,0.0018000000000000002,0.6254264116287231
14,r,56686.12109375,274.0,0.0021000000000000003,0.22496481239795685
85,z,56693.04296875,274.0,0.0018000000000000002,0.5942651033401489
0,g,56887.390625,274.0,0.0023,0.2157089114189148
15,r,56891.39453125,274.0,0.0021000000000000003,0.23207998275756836
16,r,56904.296875,274.0,0.0021000000000000003,0.21997037529945374
57,i,56920.30859375,274.0,0.0022,0.0
86,z,56920.31640625,274.0,0.0018000000000000002,0.34360507130622864
17,r,56927.23733856,274.0,0.0021000000000000003,0.25450780987739563
58,i,56927.23941032,274.0,0.0022,0.36510396003723145
87,z,56927.24609375,274.0,0.0018000000000000002,0.9789941906929016
59,i,56943.234375,274.0,0.0022,0.2520171105861664
88,z,56943.23828125,274.0,0.0018000000000000002,0.3798726797103882
18,r,56949.32421875,274.0,0.0021000000000000003,0.26663321256637573
60,i,56949.328125,274.0,0.0022,0.2602595388889313
61,i,56973.31930442,274.0,0.0022,0.3920391798019409
89,z,56973.32194213,274.0,0.0018000000000000002,0.0
19,r,56980.31902906,274.0,0.0021000000000000003,0.22076360881328583
62,i,56980.32108083,274.0,0.0022,0.2996634244918823
90,z,56980.32421875,274.0,0.0018000000000000002,0.5162631869316101
20,r,56988.03125,274.0,0.0021000000000000003,0.0
63,i,56988.03515625,274.0,0.0022,0.38535594940185547
21,r,57008.11328125,274.0,0.0021000000000000003,0.1995595395565033
22,r,57012.08416427,274.0,0.0021000000000000003,0.1965910941362381
64,i,57012.0862193,274.0,0.0022,0.20686191320419312
65,i,57019.07421875,274.0,0.0022,0.39065614342689514
1,g,57040.17464001,274.0,0.0023,0.13524599373340607
23,r,57040.17699988,274.0,0.0021000000000000003,0.193328857421875
91,z,57040.18359375,274.0,0.0018000000000000002,0.48426198959350586
66,i,57047.08984375,274.0,0.0022,0.3199813961982727
92,z,57047.09765625,274.0,0.0018000000000000002,0.0
93,z,57054.04296875,274.0,0.0018000000000000002,0.666817307472229
24,r,57311.359375,274.0,0.0021000000000000003,0.2690723240375519
25,r,57339.296875,274.0,0.0021000000000000003,0.3118229806423187
26,r,57345.3125,274.0,0.0021000000000000003,0.271356999874115
67,i,57355.2421875,274.0,0.0022,0.351471483707428
2,g,57365.1824405,274.0,0.0023,0.13594944775104523
27,r,57365.18478996,274.0,0.0021000000000000003,0.21469929814338684
68,i,57365.1875,274.0,0.0022,0.22663095593452454
28,r,57385.15234375,274.0,0.0021000000000000003,0.0
94,z,57385.15625,274.0,0.0018000000000000002,0.37841105461120605
3,g,57401.13477264,274.0,0.0023,0.10668496042490005
29,r,57401.13824855,274.0,0.0021000000000000003,0.17850077152252197
69,i,57401.140625,274.0,0.0022,0.29265230894088745
95,z,57401.14453125,274.0,0.0018000000000000002,0.4757954180240631
30,r,57637.328125,274.0,0.0021000000000000003,0.24699251353740692
70,i,57653.3515625,274.0,0.0022,0.2806619107723236
4,g,57660.265625,274.0,0.0023,0.13572067022323608
31,r,57660.268683,274.0,0.0021000000000000003,0.20184266567230225
71,i,57660.27075458,274.0,0.0022,0.212864488363266
32,r,57667.16796875,274.0,0.0021000000000000003,0.24907802045345306
72,i,57673.234375,274.0,0.0022,0.3122868239879608
33,r,57688.1015625,274.0,0.0021000000000000003,0.3270021677017212
34,r,57710.0390625,274.0,0.0021000000000000003,0.23902620375156403
73,i,57717.03125,274.0,0.0022,0.42809826135635376
35,r,57729.0546875,274.0,0.0021000000000000003,0.26972320675849915
36,r,57746.16796875,274.0,0.0021000000000000003,0.18115471303462982
74,i,57746.171875,274.0,0.0022,0.3132959008216858
75,i,57756.1328125,274.0,0.0022,0.36216938495635986
37,r,57770.13671875,274.0,0.0021000000000000003,0.29875773191452026
38,r,57775.16015625,274.0,0.0021000000000000003,0.31001725792884827
39,r,57779.14453125,274.0,0.0021000000000000003,0.2822209596633911
76,i,57779.1484375,274.0,0.0022,0.2815515398979187
40,r,57784.1015625,274.0,0.0021000000000000003,0.3770851194858551
41,r,57989.3671875,274.0,0.0021000000000000003,0.0
77,i,58029.34765625,274.0,0.0022,0.3834923505783081
78,i,58046.15234375,274.0,0.0022,0.24755729734897614
42,r,58057.31640625,274.0,0.0021000000000000003,0.17697249352931976
79,i,58071.30859375,274.0,0.0022,0.2961212396621704
43,r,58079.13671875,274.0,0.0021000000000000003,0.28493037819862366
44,r,58099.0859375,274.0,0.0021000000000000003,0.17522203922271729
45,r,58108.05010633,274.0,0.0021000000000000003,0.23834966123104095
80,i,58108.05215904,274.0,0.0022,0.2463957965373993
96,z,58108.0546875,274.0,0.0018000000000000002,0.47182413935661316
97,z,58108.05859375,274.0,0.0018000000000000002,0.46119222044944763
98,z,58117.16796875,274.0,0.0018000000000000002,0.49427300691604614
46,r,58124.1875,274.0,0.0021000000000000003,0.2640068531036377
99,z,58124.19140625,274.0,0.0018000000000000002,0.0
47,r,58132.1171875,274.0,0.0021000000000000003,0.20526738464832306
100,z,58132.12109375,274.0,0.0018000000000000002,0.4368545711040497
48,r,58154.08984375,274.0,0.0021000000000000003,0.214615598320961
49,r,58164.03125,274.0,0.0021000000000000003,0.20540720224380493
