,band,fits,object,Tau,V
0,All ,C1,0,0.606281926429009,-0.9219650988461572
1,g,C1,0,0.8932943558084029,-0.7575595237842851
0,All ,C1,12,0.0005265168066513337,-0.949173708047094
1,g,C1,12,3.998430989580666,-2.976484863817385
2,i,C1,12,0.11076680810310914,-1.1292079222974492
3,z,C1,12,0.0010011811151458552,-1.078063828740095
0,All ,C1,20,0.3193764844958749,-0.8361379595579639
1,i,C1,20,0.4525254007122931,-1.001646418538464
2,z,C1,20,0.10096855990154786,-0.9524594765314804
0,All ,C1,28,6.223578055617168e-05,-0.31050777027401577
1,g,C1,28,0.32630946040391834,-0.7855143669044049
2,r,C1,28,0.4279401181136376,-0.8015499959107562
3,i,C1,28,0.5814309857875581,-0.8256623155978389
4,z,C1,28,0.0001686834983295471,-0.4301154753396637
0,All ,C1,29,0.9505145076569378,-0.7425157563772942
1,g,C1,29,0.485024219271784,-1.0826765733687784
2,r,C1,29,1.03515623161009,-0.8401226591789158
3,i,C1,29,0.6094831848104649,-0.7320819052538982
4,z,C1,29,0.0005955432192277232,-0.7228985925361839
0,All ,C1,30,4.161047347067681e-05,-0.9193219568798866
1,r,C1,30,0.9683455214231425,-1.1035623288736147
2,i,C1,30,0.09280843611823908,-1.0804560158821803
3,z,C1,30,0.00034935197230490095,-1.0150993510970459
0,All ,C1,36,0.4481427258987784,-0.7196785529681755
1,g,C1,36,1.4143414256267477,-0.9041711686009638
2,r,C1,36,1.3688925391316251,-0.8490450859939924
3,i,C1,36,0.2953512228331845,-0.8395114048124839
4,z,C1,36,0.0006710437336889253,-0.7864703943557065
0,All ,C1,41,0.4405848244090269,-0.9705068443575674
1,r,C1,41,0.536329823805465,-1.0956572808391467
2,i,C1,41,0.4476544068664373,-1.0460052723733406
3,z,C1,41,0.3984293140051389,-0.9980034346322042
0,All ,C1,46,0.2937492457885601,-0.9859519365390772
1,i,C1,46,0.5212741034733045,-1.010039666200078
0,All ,C1,48,0.00011143678835950215,-0.6573130668468486
1,g,C1,48,1.0818829717215,-0.8309757689588231
2,r,C1,48,0.4504261161320139,-0.7798139730934192
3,i,C1,48,0.4151545071049655,-0.7739335686636665
4,z,C1,48,0.001044440381927681,-0.7293008034571314
0,All ,C1,51,0.00018088579804182749,-0.7097439904440354
1,g,C1,51,0.0007735594124003152,-1.0081177588674424
2,r,C1,51,0.3438877987702702,-1.1213930676884951
3,i,C1,51,0.2711265976719403,-1.1074062872706485
4,z,C1,51,0.0008073964352155253,-1.0590908625442257
0,All ,C1,52,0.00011984237374145813,-0.6054967740601568
1,g,C1,52,0.2435958238782305,-0.8746827740224844
2,r,C1,52,0.31104909358915434,-0.8540415349718521
3,i,C1,52,0.017982550043734856,-0.8375926227824319
4,z,C1,52,0.003743901565242125,-0.7458888904373855
0,All ,C1,59,3.054883712864942e-05,-0.353345470731426
1,g,C1,59,0.5545350940795573,-0.8110377295569718
2,r,C1,59,0.2736922617248866,-0.7934001383225041
3,i,C1,59,0.427874579737838,-0.8036561510939402
4,z,C1,59,0.0001951425857006084,-0.7112982645393598
0,All ,C1,61,4.031852105808309e-05,-0.3489275758602967
1,g,C1,61,0.4886477189291522,-0.8900423890781402
2,r,C1,61,0.3297497573415555,-0.8990370459851523
3,i,C1,61,0.25850585517968,-0.8756580123132379
4,z,C1,61,6.466407855347522e-05,-0.6761345960240198
0,All ,C1,62,0.2124592424492796,-0.5428381967429887
1,i,C1,62,0.31279931704834263,-0.6926633039955916
2,z,C1,62,0.21288968531413224,-0.6823139416170605
0,All ,C1,68,8.685519552720233e-05,-0.7267933560532995
1,g,C1,68,0.62324422168496,-0.8240571629996013
2,r,C1,68,0.3723382398228211,-0.8612955872765583
3,i,C1,68,0.17552493839064995,-0.8101492254031186
4,z,C1,68,0.4109714411851091,-0.7893179436564787
0,All ,C1,69,2.0148517489559228e-05,-0.4762606733250092
1,g,C1,69,0.5621107242583143,-1.001972308602902
2,r,C1,69,0.3531571058315989,-0.9708251578345084
3,i,C1,69,0.10020698036670143,-0.8908595448372689
4,z,C1,69,4.095493262469205e-05,-0.7805476330273514
0,All ,C1,70,0.3195359137089155,-1.131240173734926
1,i,C1,70,0.3442597152771919,-1.2078389501985525
0,All ,C1,75,8.313849266548476e-05,-0.26036781024092914
1,g,C1,75,0.6499855575845914,-0.7356008078305639
2,r,C1,75,0.40875468950833976,-0.7541337611847279
3,i,C1,75,0.14243773692757414,-0.747735111627491
4,z,C1,75,0.00012658773832146592,-0.5775198644710194
0,All ,C1,88,1.314840548483076e-05,-0.5165901024313787
1,g,C1,88,0.5817994874348105,-0.8907253996033125
2,r,C1,88,0.37128448406231024,-0.8433323922280834
3,i,C1,88,0.239242565856759,-0.8214650634409411
4,z,C1,88,0.000215829482452079,-0.7882576654648465
0,All ,C1,100,0.0008903172512984281,-0.8595311358095218
1,g,C1,100,0.5502322052699974,-0.9227920717814956
2,r,C1,100,0.5405073352699459,-0.9828086302153758
3,i,C1,100,0.14831032988182408,-0.9231549590168916
4,z,C1,100,0.1418169835573233,-0.9112971131909664
0,All ,C1,110,0.002715610713741351,-0.6889440408359008
1,i,C1,110,0.15390629542197792,-0.7332469157005408
2,z,C1,110,0.027138826122382945,-0.6947552346441637
0,All ,C1,115,2.543127499367304e-05,-0.6649404188884096
1,g,C1,115,0.5328286166789266,-1.0344896528863614
2,r,C1,115,0.391111433656014,-1.0683125985480086
3,i,C1,115,0.3403065463545412,-1.065414933410454
4,z,C1,115,0.0010725125062844842,-0.989507759167568
0,All ,C1,119,2.282088072343581e-05,-0.7981361290520389
1,r,C1,119,0.4199969952036924,-1.1837017167609705
2,i,C1,119,0.22700053378377014,-1.1405990871693379
3,z,C1,119,4.5681226959526366e-05,-1.054680597647672
0,All ,C1,122,3.968573833733336e-05,-1.0049336350435474
1,r,C1,122,0.19883033168862246,-1.2547861424228048
2,i,C1,122,0.1851963400989834,-1.192557513227673
3,z,C1,122,0.0008614606258418589,-1.1480878252908733
0,All ,C1,123,0.6208423964449115,-0.8334264216936291
1,g,C1,123,0.3824985845720309,-0.9069212633508432
0,All ,C1,124,0.5793768207940548,-1.0994472652877776
1,r,C1,124,0.5965215349562383,-1.1811794216283522
2,i,C1,124,0.548660012163526,-1.1396204470955398
0,All ,C1,126,2.916423675438663,-2.2962650560691102
1,z,C1,126,1.3363672547925576,-2.0428959937119777
0,All ,C1,129,2.0240277712080253e-05,-0.7823197840063749
