,band,fits,object,COADD_OBJECT_ID,RA,Dec,Tau,V,Num_Obs,Mu_Bright
0,All,C1,23,1398942991,53.81647872924805,-28.08709144592285,1.3441044436317342,-2.08065330680921,390,18.742425963282585
1,z,C1,23,1398942991,53.81647872924805,-28.08709144592285,0.8979719889970754,-2.319795602132063,178,17.269522547721866
2,All,C1,92,1398942810,53.94562530517578,-28.08343505859375,1.3984234241730422,-1.9112516259085148,227,20.10625308379531
3,i,C1,92,1398942810,53.94562530517578,-28.08343505859375,1.1483129279122186,-1.2418431805504295,11,19.291334450244907
4,All,C1,112,1398942896,54.01187515258789,-28.08251190185547,3.4088440928427675,-0.760919072312324,112,23.908416964113712
5,g,C1,112,1398942896,54.01187515258789,-28.08251190185547,3.999284264212607,-2.613931277149144,10,24.475279301404953
6,All,C1,138,1398942609,53.88271713256836,-28.081195831298828,3.983408310592866,-2.9978802994617606,699,19.835594445466995
7,z,C1,138,1398942609,53.88271713256836,-28.081195831298828,3.0642996783459804e-05,-2.1482277705174937,290,18.82676303386688
8,All,C1,144,1404633536,54.57064819335938,-28.080921173095703,1.6378536494183054,-2.845115850400255,697,17.835774347186092
9,z,C1,144,1404633536,54.57064819335938,-28.080921173095703,2.8472618861088983e-05,-1.6381241519884209,282,17.173931002616882
