,band,fits,object,Tau,V,Num_Obs,Mu_Bright
0,All ,C1,126,2.910522313354918,-2.3017635498801714,191,15.880420804023744
1,z,C1,126,1.3315341957024356,-2.0428962981115597,41,15.525882840156555
0,All ,C1,329,0.04929502511280082,-2.703505714616864,252,16.387214809656147
1,g,C1,329,0.5039352658914729,-1.7934008013797516,73,17.339617013931274
0,All ,C1,469,2.4116900870256237,-0.8488630762621114,397,21.949050868861374
1,g,C1,469,2.245588125429995,-0.8245564816712876,74,22.211694736033678
2,r,C1,469,2.2983196510256567,-0.90242886717499,75,21.96294348686933
3,i,C1,469,2.432925777351535,-0.9604111014442986,83,21.870194151997566
0,All ,C1,473,2.720783269446573,-1.0459905677211854,399,20.090648122131824
1,g,C1,473,2.5054410485098524,-0.9907125401391632,74,20.32593786716461
2,r,C1,473,2.6755468297044827,-1.044444335988587,76,20.219326466321945
3,i,C1,473,2.7108648256747796,-1.1985377709327194,83,19.925669431686398
4,z,C1,473,2.6671747798154724,-1.2008865110372535,166,19.89165872335434
0,All ,C1,3347,2.5747520421845445,-0.8080445922315843,392,21.923307157121602
1,g,C1,3347,2.31893563740954,-0.6798246825343088,73,22.215655986219645
2,r,C1,3347,2.5160438049094034,-0.8108482027643952,76,21.75400257110596
3,i,C1,3347,2.3877644346062605,-0.8305130059175553,81,21.830383464694023
0,All ,C1,9004,3.7464979098267186,-0.4310411392127861,397,21.224715542048216
1,g,C1,9004,3.7325298477685362,-0.3079953608321063,74,21.408843770623207
2,r,C1,9004,3.661655850051377,-0.4784319749700766,76,21.360439211130146
3,i,C1,9004,3.534566331870064,-0.6578246425057029,83,21.034439206123352
4,z,C1,9004,3.54576105765328,-0.6487051674496709,164,21.09513998031616
0,All ,C1,17999,2.7488682785363836,-0.6360991390566573,383,21.36223759502173
1,g,C1,17999,3.175398028144365,-0.4999184310295504,69,21.64109319448471
2,r,C1,17999,3.4226419666571464,-0.5555923215323629,71,21.4760060608387
3,i,C1,17999,2.3939966992301427,-0.7524517762716104,81,21.139777600765232
4,z,C1,17999,2.131946220756721,-0.7601752712501031,162,21.192073523998264
0,All ,C1,47662,3.1979865503855383,-0.630098297510156,394,21.863193404860798
1,g,C1,47662,3.0129416676199776,-0.6126934562492761,71,22.32117375358939
2,r,C1,47662,2.9078361865885083,-0.6964345192417997,76,22.08193365484476
3,i,C1,47662,3.2092858456793483,-0.7378634926689377,82,21.707150265574455
0,All ,C1,60141,3.1936572500791054,-0.6191794887576062,396,21.67002158239484
1,g,C1,60141,3.0736162831088185,-0.5280513197737122,74,21.963420137763023
2,r,C1,60141,2.9657636217951047,-0.668931776700739,75,21.828903928399086
3,i,C1,60141,3.4975494622803645,-0.6404846581109671,82,21.453125327825546
4,z,C1,60141,3.400001836654588,-0.6556224370378398,165,21.434636935591694
0,All ,C1,63815,3.5005229083242018,-0.29347857077532424,390,22.09826686186716
1,g,C1,63815,3.266945328697737,-0.16128733503578452,72,22.47376429848373
2,r,C1,63815,3.405780363872033,-0.3000299131682361,75,22.13223177939653
3,i,C1,63815,3.3422116323240236,-0.44798364319440187,82,21.884171552956104
4,z,C1,63815,2.989692424231892,-0.554836836402476,161,21.90289981663227
0,All ,C1,64167,3.2303488666384914,-0.4951117046166292,394,21.531593184918165
1,g,C1,64167,2.988198472807892,-0.5101152811516849,75,21.827289164066315
2,r,C1,64167,3.0648617227411408,-0.5361667903771662,75,21.708118245005608
3,i,C1,64167,3.3781343432486515,-0.5480822577692466,81,21.324881315231323
4,z,C1,64167,3.379613657000694,-0.5856443397577209,163,21.26608401536941
0,All ,C1,72126,3.214683913535576,-0.5476898395464542,292,21.601918004453182
1,g,C1,72126,2.687424780548408,-0.6432290107324329,58,21.718937903642654
2,r,C1,72126,2.940994862968773,-0.5637756956104478,54,21.58304922282696
3,i,C1,72126,3.2275822032055066,-0.6432815859799941,58,21.591755151748657
4,z,C1,72126,3.0855059394007767,-0.7274338960376044,122,21.51392973959446
0,All ,C1,74440,3.6665902962089185,-0.29845270520409145,301,22.313675385667008
1,g,C1,74440,3.4306806920856494,-0.3114714913251335,64,22.520231879316267
2,r,C1,74440,3.482829306192408,-0.31750168276408003,71,22.251686733216047
3,i,C1,74440,3.665036874509481,-0.254320769812389,59,22.312123291194442
0,All ,C1,75375,3.4345224912509287,-0.6218535950509144,402,20.78963022679091
1,g,C1,75375,3.3125420860423036,-0.50540797963056,75,20.91139242053032
2,r,C1,75375,3.3552088273280014,-0.6128291751283671,76,20.852905809879307
3,i,C1,75375,3.4156296409507285,-0.7157844374934906,84,20.683243870735172
4,z,C1,75375,3.330642003432399,-0.7432002303358288,167,20.710978806018826
0,All ,E1,19,1.733088154531295,-0.8439438264144209,284,22.37297048792243
1,g,E1,19,1.6560359711765995,-0.699463765428302,49,23.033972904086113
0,All ,E1,62,0.6568875805940269,-0.8962730440040314,259,21.299272557953373
1,i,E1,62,0.5166209287368275,-1.53195005324837,60,19.86435979604721
2,z,E1,62,0.6185387427846121,-1.6956656667398842,134,18.62435102462769
0,All ,E1,67,3.997225025122504,-2.20122857340178,145,23.23986185248941
1,g,E1,67,2.5387730706645337,-0.8122813552501784,13,23.83961111307144
0,All ,E1,120,0.001409478154998145,-1.4522868235560056,374,20.495531394844875
1,i,E1,120,0.0004833704569776661,-1.6299109578030602,79,19.52291965484619
2,z,E1,120,0.1116827168452068,-1.667718657136659,155,18.90177458524704
0,All ,E1,184,3.998861964226209,-1.9926656237003448,119,23.332360442727804
1,g,E1,184,2.8991861754366903,-0.609067928090314,6,23.977546393871307
0,All ,E1,303,2.8960608781368724,-0.9734952040924444,387,19.755604267120358
1,g,E1,303,2.7283076197103275,-0.8660347232452201,71,19.881232678890232
2,r,E1,303,2.8124472636646725,-0.9810566605569364,79,19.837567508220676
3,i,E1,303,2.923970954907279,-1.1046593749662303,80,19.641050398349762
4,z,E1,303,2.8185381138081533,-1.1519476580026935,157,19.662566483020786
0,All ,E1,485,2.0434221808061888,-0.9017728003746026,336,22.458548475406133
1,g,E1,485,1.9446259987800958,-0.9292621056739564,65,22.580868545919657
0,All ,E1,505,3.3842300386567308,-0.7493003751657027,354,20.755819045007232
1,g,E1,505,3.3602691708089383,-0.6518772518364749,71,20.987920314073566
2,r,E1,505,3.2876579948088067,-0.7806190042759659,79,20.707150846719745
3,i,E1,505,3.6417607720401866,-0.7375726118222794,74,20.75926676392555
4,z,E1,505,3.535952231344763,-0.838163899678735,130,20.56893825531006
0,All ,S1,118,1.2090913205232636,-1.6930984226925734,353,19.073485396802425
1,r,S1,118,1.150413708461174,-1.7382373215817288,69,19.40528005361557
2,i,S1,118,1.2775761919168305,-1.9328355706798968,73,18.260722756385807
0,All ,S1,202,7.793310926702997e-05,-0.8429108152998509,274,17.226735055446625
1,g,S1,202,0.08730885978203544,-1.3752201492359053,60,18.80135297775269
2,r,S1,202,0.0006670467672966196,-1.3804525532970044,60,17.34088122844696
3,i,S1,202,0.0017353803246526467,-1.215839698482456,53,16.551050543785095
4,z,S1,202,0.000180192487680691,-0.9252920525747896,101,16.213655471801758
0,All ,S1,289,3.464631250329064,-0.5427243172503206,345,21.602568058297038
1,g,S1,289,3.1575091668486697,-0.6275734811297143,61,21.985469348728657
2,r,S1,289,3.3116863047210288,-0.5785780598343981,68,21.790441870689392
3,i,S1,289,3.5695362765587486,-0.7251974533144654,73,21.324224621057514
0,All ,S1,291,3.3445935515802216,-0.4532902876019203,136,23.00943600945175
1,g,S1,291,3.298390327117458,-0.4133897657463188,43,23.24281625449657
2,r,S1,291,3.24286034120537,-0.4585340850632066,50,22.942074164748192
0,All ,S1,353,1.3220848622466896,-0.74577510694499,125,inf
1,i,S1,353,1.234428111428999,-0.6758344929155213,25,23.28213982284069
0,All ,S1,372,0.5882939552875452,-2.2490762886829607,285,21.66774761164561
1,g,S1,372,2.0317000574657134,0.1735806578100991,5,24.03676688671112
0,All ,S1,373,1.1947142776764197,-1.0282717761179,211,23.062688016798354
1,g,S1,373,0.9627293794726829,0.12624462499452924,4,24.092254489660267
0,All ,S1,379,2.6367763021143085,-0.6356647031743687,266,22.696747400332235
1,g,S1,379,2.563445084902228,-0.5494084321179818,46,23.09032279998064
2,r,S1,379,2.7981560239179317,-0.6713757194957644,55,22.67169315367937
0,All ,S1,453,2.138312776371112,-1.0471819002266107,353,21.0928887873888
1,g,S1,453,1.944378297625725,-0.9776531441881651,64,21.35217294096947
2,r,S1,453,2.0814528099558696,-1.0961451747421491,69,21.160034239292145
3,i,S1,453,2.119719754965865,-1.1087477477593497,72,20.943090468645092
0,All ,S1,460,1.0814986224947392,-1.2384876768374056,216,22.826428259722892
1,g,S1,460,2.9114013365786366,0.3492755984799415,3,23.99672597646713
0,All ,S1,499,1.3379655748980688,-1.4527009508881938,160,inf
1,r,S1,499,2.599638403794737,-0.4096182913126097,2,23.696925938129425
0,All ,X1,4,0.8712494260904431,-2.3649543681118925,121,19.6317145973444
1,i,X1,4,0.0017611094935220395,-1.7762627592572833,24,18.733077943325046
0,All ,X1,258,3.994653036709523,-2.9692048395538184,184,23.21635457512457
1,g,X1,258,3.9982083522686915,-2.797749186005712,10,24.191553741693497
0,All ,X1,393,3.215340031509828,-0.369620622499464,230,22.677775840274986
1,g,X1,393,2.8740514215464974,-0.42562220108029997,41,23.13464343547821
2,r,X1,393,3.3551324822029187,-0.36046430284661407,55,22.596970107406374
3,i,X1,393,3.048252673403737,-0.3734755466235708,51,22.608068212866783
0,All ,X1,410,3.1576823355358923,-1.2319921394116424,150,inf
1,i,X1,410,1.5343623562717017,-0.670934555623283,45,22.81469285488129
