,band,fits,object,Tau,V,Num_Obs,Mu_Bright
0,All ,C1,126,2.9098935160387107,-2.299031249150732,191,15.880420804023744
1,z,C1,126,1.3314437091086293,-2.044378290865457,41,15.525882840156555
0,All ,C1,3347,2.5771503266039137,-0.8070325565942346,392,21.923307157121602
1,g,C1,3347,2.3192314953140736,-0.6792827524671887,73,22.215655986219645
2,r,C1,3347,2.5104207828388887,-0.8144392171617401,76,21.75400257110596
3,i,C1,3347,2.3881293364349303,-0.8307114762883562,81,21.830383464694023
0,All ,C1,9004,3.7370034857078522,-0.4360106172837288,397,21.224715542048216
1,g,C1,9004,3.7255935817852857,-0.31118606471873345,74,21.408843770623207
2,r,C1,9004,3.6632169409861457,-0.4778469583513546,76,21.360439211130146
3,i,C1,9004,3.542494084216708,-0.6538428332937617,83,21.034439206123352
4,z,C1,9004,3.5500054154021523,-0.6460882429826043,164,21.09513998031616
0,All ,C1,17999,2.7315582031713825,-0.6446401322475461,383,21.36223759502173
1,g,C1,17999,3.1707830201445497,-0.5022596558207831,69,21.64109319448471
2,r,C1,17999,3.427444420504256,-0.5529667590569328,71,21.4760060608387
3,i,C1,17999,2.384069775360839,-0.7558561018348751,81,21.139777600765232
4,z,C1,17999,2.140094049610336,-0.7568704040896084,162,21.192073523998264
0,All ,C1,47662,3.2088899903591095,-0.6257287951593218,394,21.863193404860798
1,g,C1,47662,3.0079715014824955,-0.6157674710595029,71,22.32117375358939
2,r,C1,47662,2.917976473895527,-0.6915641822831181,76,22.08193365484476
3,i,C1,47662,3.1937506584000523,-0.7455230857462499,82,21.707150265574455
0,All ,C1,60141,3.1990997241028323,-0.6172954278409368,396,21.67002158239484
1,g,C1,60141,3.0753119019885204,-0.5274367808042477,74,21.963420137763023
2,r,C1,60141,2.9597905469886103,-0.6724405345051271,75,21.828903928399086
3,i,C1,60141,3.5056243532442832,-0.6363169870661131,82,21.453125327825546
4,z,C1,60141,3.3890459032876348,-0.6607392352290575,165,21.434636935591694
0,All ,C1,63815,3.4917744223348506,-0.2974501217335014,390,22.09826686186716
1,g,C1,63815,3.2833365589025587,-0.15247796926373453,72,22.47376429848373
2,r,C1,63815,3.418381914255293,-0.2952204589897148,75,22.13223177939653
3,i,C1,63815,3.3548814700557346,-0.4419347046297742,82,21.884171552956104
4,z,C1,63815,2.9917121457759537,-0.5538497513197995,161,21.90289981663227
0,All ,C1,64167,3.2353102160751632,-0.4919455687605495,394,21.531593184918165
1,g,C1,64167,2.9996996724164178,-0.5046177304902069,75,21.827289164066315
2,r,C1,64167,3.0629281636545866,-0.5372374518527139,75,21.708118245005608
3,i,C1,64167,3.392652121382513,-0.5401212574181071,81,21.324881315231323
4,z,C1,64167,3.3796360157168235,-0.5857848058365489,163,21.26608401536941
0,All ,C1,72126,3.2223065590268063,-0.5431732663460401,292,21.601918004453182
1,g,C1,72126,2.678522197603873,-0.6461995289080009,58,21.718937903642654
2,r,C1,72126,2.9411947356419312,-0.5647603307634195,54,21.58304922282696
3,i,C1,72126,3.211906261084576,-0.6504262569648213,58,21.591755151748657
4,z,C1,72126,3.0977475961511525,-0.7228838459390712,122,21.51392973959446
0,All ,C1,74440,3.666485810686431,-0.29797537660626144,301,22.313675385667008
1,g,C1,74440,3.4267250153913973,-0.3127909715214656,64,22.520231879316267
2,r,C1,74440,3.4948262673624817,-0.3114932587311282,71,22.251686733216047
3,i,C1,74440,3.6660418894023103,-0.25334161978975045,59,22.312123291194442
0,All ,C1,75375,3.432746296099713,-0.6224905017257033,402,20.78963022679091
1,g,C1,75375,3.3090064559646435,-0.5070671211535707,75,20.91139242053032
2,r,C1,75375,3.3466993995231533,-0.6180585801457467,76,20.852905809879307
3,i,C1,75375,3.4226128611995064,-0.7132026476164619,84,20.683243870735172
4,z,C1,75375,3.33146993996444,-0.7416744159487234,167,20.710978806018826
