Running object 3347
ROW: 3347 Tau: 2.277185400623659 V: -0.6861684569433611 dMu: 0.004063536676571083
         13288560 function calls (13181823 primitive calls) in 200.525 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2640744   59.426    0.000   59.426    0.000 ClusterEmcee2_newprob_mu.py:34(evolvestate)
  2677421   44.139    0.000   44.139    0.000 ClusterEmcee2_newprob_mu.py:41(weightedmean)
  2677421   40.674    0.000   40.674    0.000 ClusterEmcee2_newprob_mu.py:27(lognorm)
    36676   33.213    0.001  177.457    0.005 ClusterEmcee2_newprob_mu.py:73(lnlike)
    80756    0.503    0.000    0.507    0.000 {built-in method numpy.array}
11962/466    0.411    0.000    1.121    0.002 pyparsing.py:1040(_parseNoCache)
329213/329211    0.391    0.000    0.517    0.000 {built-in method builtins.isinstance}
      551    0.381    0.001    0.381    0.001 {built-in method marshal.loads}
      232    0.356    0.002    1.154    0.005 optimize.py:406(_minimize_neldermead)
34072/31546    0.355    0.000    0.571    0.000 backend_pdf.py:137(pdfRepr)
       15    0.352    0.023    0.352    0.023 {method 'get_filename' of 'zipimport.zipimporter' objects}
   101/85    0.343    0.003    0.405    0.005 {built-in method _imp.create_dynamic}
   192274    0.332    0.000    0.345    0.000 {built-in method builtins.getattr}
     15/1    0.297    0.020    1.578    1.578 {method 'load_module' of 'zipimport.zipimporter' objects}
    31558    0.292    0.000    0.292    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    26011    0.279    0.000    0.414    0.000 weakref.py:102(__init__)
     8720    0.275    0.000    0.456    0.000 polynomial.py:664(polyval)
     3276    0.262    0.000    0.465    0.000 backend_pdf.py:2291(delta)
   101493    0.245    0.000    0.245    0.000 __init__.py:934(__getitem__)
74511/74497    0.231    0.000    0.307    0.000 {built-in method builtins.hasattr}
    20100    0.220    0.000  177.884    0.009 ClusterEmcee2_newprob_mu.py:128(lnprob)
        1    0.214    0.214    3.852    3.852 ClusterEmcee2_newprob_mu.py:136(sausageplot)
 1757/917    0.194    0.000    0.457    0.000 sre_parse.py:469(_parse)
       23    0.191    0.008    0.205    0.009 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    20100    0.190    0.000    0.190    0.000 ClusterEmcee2_newprob_mu.py:121(lnprior)
        1    0.182    0.182    0.196    0.196 _axes.py:4068(hexbin)
1799/1737    0.177    0.000    1.005    0.001 {built-in method builtins.__build_class__}
     2977    0.175    0.000    0.405    0.000 backend_bases.py:413(_iter_collection)
328327/326714    0.173    0.000    0.174    0.000 {built-in method builtins.len}
80365/74579    0.172    0.000    0.320    0.000 {built-in method builtins.hash}
       13    0.170    0.013    0.514    0.040 pyparsing.py:3415(oneOf)
     7338    0.162    0.000    0.611    0.000 configuration.py:380(__call__)
   228043    0.146    0.000    0.146    0.000 {method 'startswith' of 'str' objects}
      767    0.146    0.000    0.166    0.000 linalg.py:486(inv)
    13197    0.142    0.000    0.142    0.000 {built-in method builtins.locals}
    15049    0.142    0.000    0.142    0.000 {method 'compress' of 'zlib.Compress' objects}
      232    0.133    0.001    0.133    0.001 ClusterEmcee2_newprob_mu.py:153(<listcomp>)
65703/59207    0.131    0.000    0.190    0.000 artist.py:268(stale)
12014/452    0.130    0.000    1.120    0.002 pyparsing.py:1128(_parseCache)
    13021    0.130    0.000    0.364    0.000 path.py:212(_update_values)
21159/19553    0.130    0.000    0.133    0.000 records.py:439(__getattribute__)
    10268    0.128    0.000    0.218    0.000 configuration.py:481(get_config)
     7910    0.123    0.000    0.158    0.000 backend_pdf.py:99(fill)
      232    0.120    0.001    0.120    0.001 ClusterEmcee2_newprob_mu.py:154(<listcomp>)
