Running object 17999
('ROW:', 17999, 'Tau:', '2.930635198725901', 'V:', '-0.5747739228920569', 'dMu:', '-0.036314921025907596')
         12253849 function calls (12171010 primitive calls) in 95.101 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2358444   29.758    0.000   29.758    0.000 ClusterEmcee2_newprob_mu.py:34(evolvestate)
  2393127   19.736    0.000   19.736    0.000 ClusterEmcee2_newprob_mu.py:41(weightedmean)
  2393127   19.569    0.000   19.569    0.000 ClusterEmcee2_newprob_mu.py:27(lognorm)
    34682   17.980    0.001   87.073    0.003 ClusterEmcee2_newprob_mu.py:73(lnlike)
      232    0.391    0.002    1.228    0.005 optimize.py:406(_minimize_neldermead)
        1    0.384    0.384    2.706    2.706 ClusterEmcee2_newprob_mu.py:139(sausageplot)
     9434    0.308    0.000    0.475    0.000 polynomial.py:614(polyval)
      754    0.292    0.000    0.312    0.000 linalg.py:464(inv)
    31246    0.202    0.000    0.202    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    86576    0.142    0.000    0.143    0.000 {numpy.core.multiarray.array}
    20100    0.117    0.000   87.304    0.004 ClusterEmcee2_newprob_mu.py:131(lnprob)
    20100    0.108    0.000    0.108    0.000 ClusterEmcee2_newprob_mu.py:124(lnprior)
308595/308593    0.107    0.000    0.144    0.000 {isinstance}
    96897    0.106    0.000    0.106    0.000 __init__.py:934(__getitem__)
35908/33189    0.105    0.000    0.177    0.000 backend_pdf.py:137(pdfRepr)
      232    0.104    0.000    0.110    0.000 linalg.py:1737(slogdet)
    13373    0.098    0.000    0.108    0.000 cbook.py:687(is_string_like)
    24589    0.092    0.000    0.132    0.000 weakref.py:48(__init__)
    10292    0.091    0.000    0.118    0.000 configuration.py:481(get_config)
    13095    0.083    0.000    0.213    0.000 path.py:212(_update_values)
     3309    0.076    0.000    0.147    0.000 backend_pdf.py:2291(delta)
       13    0.067    0.005    0.189    0.015 pyparsing.py:4551(oneOf)
   202095    0.063    0.000    0.067    0.000 {getattr}
     2978    0.061    0.000    0.124    0.000 backend_bases.py:413(_iter_collection)
    15596    0.055    0.000    0.055    0.000 {built-in method compress}
    13095    0.053    0.000    0.312    0.000 path.py:103(__init__)
389991/388010    0.051    0.000    0.052    0.000 {len}
    47142    0.051    0.000    0.051    0.000 {range}
    50875    0.051    0.000    0.115    0.000 numeric.py:424(asarray)
     1847    0.051    0.000    0.782    0.000 lines.py:297(__init__)
     8208    0.049    0.000    0.521    0.000 markers.py:199(_recache)
    19000    0.048    0.000    0.048    0.000 {numpy.core.multiarray.zeros}
13477/6341    0.047    0.000    0.134    0.000 transforms.py:139(_invalidate_internal)
64406/58576    0.046    0.000    0.071    0.000 artist.py:268(stale)
     8520    0.042    0.000    0.044    0.000 {numpy.core.multiarray.dot}
 2105/996    0.040    0.000    0.108    0.000 sre_parse.py:414(_parse)
     9202    0.039    0.000    0.555    0.000 ClusterEmcee2_newprob_mu.py:197(<lambda>)
   183113    0.039    0.000    0.067    0.000 pyparsing.py:4580(<lambda>)
     1878    0.038    0.000    0.042    0.000 {matplotlib._path.convert_to_string}
    23135    0.037    0.000    0.164    0.000 transforms.py:87(__init__)
    56946    0.036    0.000    0.045    0.000 {hasattr}
   214486    0.036    0.000    0.036    0.000 {method 'startswith' of 'unicode' objects}
    17504    0.034    0.000    0.074    0.000 weakref.py:207(itervalues)
     7350    0.034    0.000    0.211    0.000 configuration.py:380(__call__)
     9434    0.033    0.000    0.116    0.000 numeric.py:83(zeros_like)
     3959    0.033    0.000    0.052    0.000 artist.py:95(__init__)
    24589    0.032    0.000    0.037    0.000 UserDict.py:4(__init__)
        1    0.032    0.032    0.037    0.037 _axes.py:4068(hexbin)
 6067/232    0.032    0.000    0.207    0.001 pyparsing.py:1520(_parseCache)
     8233    0.031    0.000    0.040    0.000 backend_pdf.py:99(fill)
2691/2658    0.030    0.000    0.141    0.000 core.py:2050(_expand_and_gather)
     9244    0.029    0.000    0.029    0.000 {method 'take' of 'numpy.ndarray' objects}
     7765    0.028    0.000    0.298    0.000 backend_pdf.py:588(output)
    33632    0.028    0.000    0.033    0.000 sre_parse.py:194(__next)
       25    0.027    0.001    0.279    0.011 __init__.py:1(<module>)
    18022    0.027    0.000    0.027    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
     9434    0.026    0.000    0.026    0.000 {numpy.core.multiarray.empty_like}
    15143    0.026    0.000    0.099    0.000 fromnumeric.py:50(_wrapfunc)
     4613    0.026    0.000    0.026    0.000 {method 'argsort' of 'numpy.ndarray' objects}
