Running object 17999
('ROW:', 17999, 'Tau:', '2.9100005447392197', 'V:', '-0.5787053374100214', 'dMu:', '-0.055292264765846394')
         12188382 function calls (12106005 primitive calls) in 81.822 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    34603   31.800    0.001   71.269    0.002 ClusterEmcee2_newprob_mu_old.py:100(lnlike_old)
  2387607   18.002    0.000   18.002    0.000 ClusterEmcee2_newprob_mu_old.py:41(weightedmean)
  2387607   17.994    0.000   17.994    0.000 ClusterEmcee2_newprob_mu_old.py:27(lognorm)
  2353004    3.437    0.000    3.437    0.000 ClusterEmcee2_newprob_mu_old.py:34(evolvestate)
      754    2.190    0.003    2.209    0.003 linalg.py:464(inv)
      232    1.254    0.005    1.260    0.005 linalg.py:1737(slogdet)
      232    0.378    0.002    1.180    0.005 optimize.py:406(_minimize_neldermead)
        1    0.371    0.371    5.682    5.682 ClusterEmcee2_newprob_mu_old.py:139(sausageplot)
     9432    0.296    0.000    0.452    0.000 polynomial.py:614(polyval)
    30875    0.188    0.000    0.188    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    85912    0.131    0.000    0.132    0.000 {numpy.core.multiarray.array}
    20100    0.106    0.000   71.463    0.004 ClusterEmcee2_newprob_mu_old.py:131(lnprob)
34406/31684    0.104    0.000    0.174    0.000 backend_pdf.py:137(pdfRepr)
305923/305921    0.103    0.000    0.137    0.000 {isinstance}
    20100    0.100    0.000    0.100    0.000 ClusterEmcee2_newprob_mu_old.py:124(lnprior)
    94327    0.093    0.000    0.093    0.000 __init__.py:934(__getitem__)
    24083    0.084    0.000    0.120    0.000 weakref.py:48(__init__)
    13024    0.078    0.000    0.087    0.000 cbook.py:687(is_string_like)
    12844    0.075    0.000    0.190    0.000 path.py:212(_update_values)
     3294    0.074    0.000    0.144    0.000 backend_pdf.py:2291(delta)
    22777    0.070    0.000    0.070    0.000 {built-in method __new__ of type object at 0x561b538ee9c0}
       13    0.067    0.005    0.189    0.015 pyparsing.py:4551(oneOf)
     2987    0.060    0.000    0.124    0.000 backend_bases.py:413(_iter_collection)
   200338    0.060    0.000    0.063    0.000 {getattr}
    15159    0.055    0.000    0.055    0.000 {built-in method compress}
    12844    0.049    0.000    0.282    0.000 path.py:103(__init__)
    50421    0.048    0.000    0.107    0.000 numeric.py:424(asarray)
386035/384093    0.048    0.000    0.049    0.000 {len}
    47060    0.045    0.000    0.045    0.000 {range}
     1808    0.044    0.000    0.674    0.000 lines.py:297(__init__)
    18817    0.044    0.000    0.044    0.000 {numpy.core.multiarray.zeros}
13314/6204    0.043    0.000    0.123    0.000 transforms.py:139(_invalidate_internal)
     7974    0.042    0.000    0.452    0.000 markers.py:199(_recache)
63010/57310    0.040    0.000    0.062    0.000 artist.py:268(stale)
     9200    0.039    0.000    0.532    0.000 ClusterEmcee2_newprob_mu_old.py:197(<lambda>)
   214096    0.039    0.000    0.039    0.000 {method 'startswith' of 'unicode' objects}
     8346    0.039    0.000    0.041    0.000 {numpy.core.multiarray.dot}
     1874    0.038    0.000    0.043    0.000 {matplotlib._path.convert_to_string}
   183113    0.037    0.000    0.069    0.000 pyparsing.py:4580(<lambda>)
    22629    0.036    0.000    0.150    0.000 transforms.py:87(__init__)
 2105/996    0.035    0.000    0.096    0.000 sre_parse.py:414(_parse)
    55068    0.034    0.000    0.041    0.000 {hasattr}
        1    0.033    0.033    0.038    0.038 _axes.py:4068(hexbin)
 6067/232    0.033    0.000    0.214    0.001 pyparsing.py:1520(_parseCache)
     8015    0.032    0.000    0.040    0.000 backend_pdf.py:99(fill)
    17328    0.031    0.000    0.068    0.000 weakref.py:207(itervalues)
     7350    0.031    0.000    0.135    0.000 configuration.py:380(__call__)
     9432    0.030    0.000    0.105    0.000 numeric.py:83(zeros_like)
     1292    0.029    0.000    0.029    0.000 {method 'load_char' of 'matplotlib.ft2font.FT2Font' objects}
2691/2658    0.028    0.000    0.135    0.000 core.py:2050(_expand_and_gather)
     3881    0.028    0.000    0.044    0.000 artist.py:95(__init__)
    10292    0.028    0.000    0.053    0.000 configuration.py:481(get_config)
    24083    0.028    0.000    0.033    0.000 UserDict.py:4(__init__)
     7546    0.027    0.000    0.290    0.000 backend_pdf.py:588(output)
     4612    0.027    0.000    0.027    0.000 {method 'argsort' of 'numpy.ndarray' objects}
     9242    0.026    0.000    0.026    0.000 {method 'take' of 'numpy.ndarray' objects}
    15140    0.025    0.000    0.098    0.000 fromnumeric.py:50(_wrapfunc)
    33632    0.025    0.000    0.029    0.000 sre_parse.py:194(__next)
      400    0.024    0.000   71.185    0.178 ensemble.py:292(_propose_stretch)
     9432    0.024    0.000    0.024    0.000 {numpy.core.multiarray.empty_like}
    17961    0.024    0.000    0.024    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
    20100    0.023    0.000   71.486    0.004 ensemble.py:517(__call__)
    11241    0.023    0.000    0.023    0.000 {method 'copy' of 'numpy.ndarray' objects}
     9200    0.023    0.000    0.555    0.000 optimize.py:290(function_wrapper)
 6300/248    0.023    0.000    0.213    0.001 pyparsing.py:1347(_parseNoCache)
 3399/282    0.023    0.000    0.057    0.000 sre_compile.py:64(_compile)
     9432    0.022    0.000    0.518    0.000 polynomial.py:1174(__call__)
       25    0.022    0.001    0.241    0.010 __init__.py:1(<module>)
    21692    0.022    0.000    0.043    0.000 numeric.py:495(asanyarray)
      598    0.022    0.000   71.523    0.120 {map}
     9510    0.022    0.000    0.022    0.000 {numpy.core.multiarray.copyto}
    18649    0.021    0.000    0.144    0.000 transforms.py:1662(__init__)
     1448    0.021    0.000    0.275    0.000 column.py:465(__init__)
     3514    0.021    0.000    0.027    0.000 twodim_base.py:140(eye)
   148606    0.021    0.000    0.021    0.000 {method 'append' of 'list' objects}
    20792    0.021    0.000    0.021    0.000 {method 'encode' of 'unicode' objects}
   183114    0.019    0.000    0.019    0.000 pyparsing.py:4579(<lambda>)
    14480    0.019    0.000    0.198    0.000 column.py:434(__set__)
    15309    0.019    0.000    0.034    0.000 abc.py:128(__instancecheck__)
     5225    0.019    0.000    0.057    0.000 fromnumeric.py:2222(amax)
    10248    0.019    0.000    0.023    0.000 core.py:730(__hash__)
      401    0.019    0.000   71.541    0.178 ensemble.py:340(_get_lnprob)
     3514    0.019    0.000    0.046    0.000 numeric.py:2157(identity)
     3987    0.018    0.000    0.269    0.000 markers.py:248(set_marker)
     4624    0.018    0.000    0.078    0.000 colors.py:128(to_rgba)
     1760    0.018    0.000    0.217    0.000 font_manager.py:674(__init__)
      284    0.018    0.000    0.018    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      232    0.018    0.000    0.051    0.000 linalg.py:1880(lstsq)
     2442    0.018    0.000    0.043    0.000 colors.py:151(_to_rgba_no_colorcycle)
     5921    0.018    0.000    0.018    0.000 {posix.lstat}
38489/25457    0.017    0.000    0.209    0.000 {setattr}
        3    0.017    0.006    0.018    0.006 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     5843    0.017    0.000    0.049    0.000 fromnumeric.py:1427(ravel)
      201    0.017    0.000   71.599    0.356 ensemble.py:130(sample)
     6387    0.017    0.000    0.028    0.000 collections.py:71(__setitem__)
     9432    0.016    0.000    0.043    0.000 polynomial.py:1041(coeffs)
    15203    0.016    0.000    0.079    0.000 backend_pdf.py:394(write)
     9220    0.016    0.000    0.057    0.000 fromnumeric.py:65(take)
