make pos
run sampler
run mcmc
sampler done
log_prob plot
max theta done
corner plot
         13333904 function calls (13227073 primitive calls) in 173.155 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    36871   60.187    0.002  151.139    0.004 ClusterEmcee2_newprob_mu.py:97(lnlike_old)
  2691583   41.388    0.000   41.388    0.000 ClusterEmcee2_newprob_mu.py:41(weightedmean)
  2691583   38.303    0.000   38.303    0.000 ClusterEmcee2_newprob_mu.py:27(lognorm)
  2654712   11.236    0.000   11.236    0.000 ClusterEmcee2_newprob_mu.py:34(evolvestate)
      232    0.495    0.002    1.583    0.007 optimize.py:406(_minimize_neldermead)
    80752    0.474    0.000    0.475    0.000 {built-in method numpy.array}
329691/329689    0.392    0.000    0.496    0.000 {built-in method builtins.isinstance}
    31571    0.348    0.000    0.348    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     8706    0.348    0.000    0.602    0.000 polynomial.py:664(polyval)
    26059    0.324    0.000    0.462    0.000 weakref.py:102(__init__)
      551    0.311    0.001    0.311    0.001 {built-in method marshal.loads}
34200/31610    0.306    0.000    0.524    0.000 backend_pdf.py:137(pdfRepr)
   101863    0.266    0.000    0.266    0.000 __init__.py:934(__getitem__)
        1    0.264    0.264    3.752    3.752 ClusterEmcee2_newprob_mu.py:136(sausageplot)
   101/85    0.254    0.003    0.328    0.004 {built-in method _imp.create_dynamic}
     15/1    0.253    0.017    1.199    1.199 {method 'load_module' of 'zipimport.zipimporter' objects}
   191791    0.247    0.000    0.255    0.000 {built-in method builtins.getattr}
      767    0.246    0.000    0.275    0.000 linalg.py:486(inv)
328759/327147    0.228    0.000    0.230    0.000 {built-in method builtins.len}
       15    0.227    0.015    0.227    0.015 {method 'get_filename' of 'zipimport.zipimporter' objects}
    20100    0.227    0.000  151.570    0.008 ClusterEmcee2_newprob_mu.py:128(lnprob)
     3255    0.217    0.000    0.436    0.000 backend_pdf.py:2291(delta)
 2530/170    0.215    0.000    0.476    0.003 pyparsing.py:2799(parseImpl)
1799/1737    0.211    0.000    0.833    0.000 {built-in method builtins.__build_class__}
    20100    0.207    0.000    0.207    0.000 ClusterEmcee2_newprob_mu.py:121(lnprior)
74435/74421    0.196    0.000    0.239    0.000 {built-in method builtins.hasattr}
       13    0.190    0.015    0.560    0.043 pyparsing.py:3415(oneOf)
      232    0.176    0.001    0.176    0.001 ClusterEmcee2_newprob_mu.py:154(<listcomp>)
      232    0.176    0.001    0.176    0.001 ClusterEmcee2_newprob_mu.py:153(<listcomp>)
65975/59467    0.164    0.000    0.223    0.000 artist.py:268(stale)
    13058    0.160    0.000    0.425    0.000 path.py:212(_update_values)
11962/466    0.158    0.000    0.950    0.002 pyparsing.py:1040(_parseNoCache)
     2957    0.154    0.000    0.377    0.000 backend_bases.py:413(_iter_collection)
        1    0.154    0.154    0.166    0.166 _axes.py:4068(hexbin)
   228100    0.146    0.000    0.146    0.000 {method 'startswith' of 'str' objects}
     1835    0.144    0.000    1.940    0.001 lines.py:297(__init__)
       23    0.143    0.006    0.177    0.008 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
13522/6439    0.143    0.000    0.451    0.000 transforms.py:139(_invalidate_internal)
    17492    0.138    0.000    0.266    0.000 weakref.py:242(values)
     7338    0.135    0.000    0.472    0.000 configuration.py:380(__call__)
    20100    0.126    0.000  151.696    0.008 ensemble.py:517(__call__)
    13058    0.124    0.000    0.658    0.000 path.py:103(__init__)
12014/452    0.121    0.000    0.955    0.002 pyparsing.py:1128(_parseCache)
